team_id,player_id
61,12094
61,1446
61,8085
61,9428
61,10744
61,13748
61,8808
61,11214
61,1454
61,702
61,8117
61,8424
61,9298
61,10357
61,12566
61,8333
61,8107
61,9693
61,11158
61,9781
61,10647
61,8755
61,7664
255,1465
255,1457
255,1836
255,6326
255,8204
255,3007
255,9427
255,10738
255,1726
255,10952
255,10267
255,1828
255,9572
255,9425
255,1807
255,7906
255,12086
255,8356
255,10225
255,790
446,9163
446,10012
446,13658
446,11098
446,14482
446,13639
446,9095
446,11096
446,9101
446,11531
446,11094
446,14475
446,9073
530,11256
530,14825
530,9140
530,9072
530,11095
530,11093
530,11855
530,10015
530,13949
530,14478
530,9080
530,11882
530,11386
