player_id,full_name,nationality,bat_style,bowl_style,speciality
12094,Prithvi Shaw,,RIGHT,Right Arm off break,Batsman
1446,Shikhar Dhawan,,LEFT,Right Arm off break,Batsman
8085,Colin Munro,,LEFT,Right Arm medium,Batting Allrounder
9428,Shreyas Iyer,,RIGHT,Right Arm leg break,Batsman
10744,Rishabh Pant,,LEFT,,WK-Batsman
13748,Sherfane Rutherford,,LEFT,Right Arm fast medium,Batting Allrounder
8808,Axar Patel,,LEFT,Left Arm orthodox,Bowling Allrounder
11214,Keemo Paul,,RIGHT,Right Arm fast medium,Bowling Allrounder
1454,Amit Mishra,,RIGHT,Right Arm leg break,Bowler
702,Ishant Sharma,,RIGHT,Right Arm fast medium,Bowler
8117,Trent Boult,,RIGHT,Left Arm fast medium,Bowler
8424,Hanuma Vihari,,RIGHT,Right Arm off break,Batting Allrounder
9298,Ankush Bains,,RIGHT,,WK-Batsman
10357,Jagadeesha Suchith,,LEFT,Left Arm orthodox,Bowler
12566,Manjot Kalra,,LEFT,Right Arm medium,Batsman
8333,Chris Morris,,RIGHT,Right Arm fast medium,Bowling Allrounder
8107,Jalaj Saxena,,RIGHT,Right Arm off break,Batting Allrounder
9693,Rahul Tewatia,,LEFT,Right Arm leg break,Bowler
11158,Sandeep Lamichhane,,RIGHT,Right Arm leg break,Bowler
9781,Avesh Khan,,RIGHT,Right Arm fast medium,Bowler
10647,Nathu Singh,,RIGHT,Right Arm fast medium,Bowler
8755,Bandaru Ayyappa,,RIGHT,Right Arm medium,Bowler
7664,Colin Ingram,,LEFT,Right Arm leg break,Batsman
1465,Wriddhiman Saha,,RIGHT,,WK-Batsman
1457,Martin Guptill,,RIGHT,Right Arm off break,Batsman
1836,Manish Pandey,,RIGHT,Right Arm medium,Batsman
6326,Kane Williamson,,RIGHT,Right Arm off break,Batsman
8204,Vijay Shankar,,RIGHT,Right Arm medium,Batting Allrounder
3007,Mohammad Nabi,,RIGHT,Right Arm off break,Bowling Allrounder
9427,Deepak Hooda,,RIGHT,Right Arm off break,Batting Allrounder
10738,Rashid Khan,,RIGHT,Right Arm leg break,Bowler
1726,Bhuvneshwar Kumar,,RIGHT,Right Arm fast medium,Bowler
10952,K Khaleel Ahmed,,RIGHT,Left Arm fast medium,Bowler
10267,Basil Thampi,,RIGHT,Right Arm fast medium,Bowler
1828,Siddarth Kaul,,RIGHT,Right Arm fast medium,Bowler
9572,Billy Stanlake,,LEFT,Right Arm fast,Bowler
9425,Ricky Bhui,,RIGHT,Right Arm leg break,Batsman
1807,Shreevats Goswami,,LEFT,,WK-Batsman
7906,Shahbaz Nadeem,,RIGHT,Left Arm orthodox,Bowler
12086,Abhishek Sharma,,LEFT,Left Arm orthodox,Batting Allrounder
8356,Sandeep Sharma,,RIGHT,Right Arm fast medium,Bowler
10225,T Natarajan,,LEFT,Left Arm fast medium,Bowler
790,Yusuf Pathan,,RIGHT,Right Arm off break,Batting Allrounder
9163,Suzie Bates,,RIGHT,Right Arm medium,Batting Allrounder
10012,Smriti Mandhana,,LEFT,Right Arm off break,Batsman
13658,Harleen Deol,,RIGHT,Right Arm off break,Batting Allrounder
11098,Deepti Sharma,,LEFT,Right Arm off break,Batting Allrounder
14482,Bharati Fulmali,,RIGHT,Right Arm fast medium,Bowler
13639,Dayalan Hemalatha,,RIGHT,Right Arm off break,Batsman
9095,Stafanie Taylor,,RIGHT,Right Arm off break,Batting Allrounder
11096,Ravi Kalpana,,RIGHT,Right Arm off break,WK-Batsman
9101,Shakera Selman,,RIGHT,Right Arm medium,Bowling Allrounder
11531,Sophie Ecclestone,,RIGHT,Left Arm orthodox,Bowler
11094,Rajeshwari Gayakwad,,RIGHT,Left Arm orthodox,Bowler
14475,Jasia Akhtar,,RIGHT,Right Arm medium,Batsman
9073,Jhulan Goswami,,RIGHT,Right Arm medium,Bowler
11256,Hayley Matthews,,RIGHT,Right Arm off break,Batting Allrounder
14825,Shafali Verma,,RIGHT,Right Arm off break,Batsman
9140,Danielle Wyatt,,RIGHT,Right Arm off break,Batsman
9072,Mithali Raj,,RIGHT,Right Arm leg break,Batsman
11095,Veda Krishnamurthy,,RIGHT,Right Arm leg break,Batsman
11093,Sushma Verma,,RIGHT,,WK-Batsman
11855,Amelia Kerr,,RIGHT,Right Arm leg break,Bowler
10015,Shikha Pandey,,RIGHT,Right Arm medium,Bowling Allrounder
13949,Sushree Pradhan,,RIGHT,Right Arm off break,Bowler
14478,Komal Zanzad,,RIGHT,Right Arm fast medium,Bowler
9080,Ekta Bisht,,LEFT,Left Arm orthodox,Bowler
11882,Devika Vaidya,,LEFT,Right Arm leg break,Batsman
11386,Jahanara Alam,,RIGHT,Right Arm medium,Bowler
